"name","weight","rank"
"Wassim",4.62502874985834e-05,94
"Marin",4.59386920157468e-05,197
"Vivien",4.54906526417148e-05,0
"Leonard",4.46534587417152e-05,0
"Joshua",4.3428737722329e-05,161
"Ylan",4.32867364704773e-05,256
"Naim",4.30456904059632e-05,469
"Erick",4.29701606192721e-05,0
"Emeric",4.26425917484833e-05,0
"Ferdinand",4.26093093986085e-05,0
"Kenny",4.2311164437852e-05,461
"Paolo",4.22923859050972e-05,308
"Grégory",4.18051206598431e-05,0
"Moussa",4.0820016845888e-05,194
"Ben",4.06878720309226e-05,0
"Brandon",4.02936813643629e-05,0
"Ulysse",4.00431224626957e-05,216
"Joe",4.00223812985458e-05,0
"Maé",3.99670890428337e-05,204
"Brahim",3.99394524715595e-05,0
"Wilfried",3.94339129475515e-05,0
"Fred",3.91544949375337e-05,0
"Firmin",3.83883829638934e-05,0
"Charlie",3.80425634240115e-05,186
"Kleber",3.79189214736252e-05,0
"Cyprien",3.75812911175379e-05,0
"Léandre",3.74622088736004e-05,103
"Theophile",3.63862063566894e-05,0
"Ghislain",3.63702620866647e-05,0
"Zakaria",3.62408809019309e-05,126
"Honore",3.61673360972379e-05,0
"Fares",3.59203239078729e-05,286
"Mourad",3.582700708149e-05,0
"Imran",3.52997428405443e-05,57
"Bilel",3.514957514873e-05,274
"Armel",3.42793218175758e-05,0
"Matis",3.41743315973382e-05,423
"Gildas",3.41349879496897e-05,0
"Aymen",3.40432448759204e-05,137
"Amedee",3.35662059806834e-05,0
"Theodore",3.34901750719487e-05,0
"Aubin",3.31822970749733e-05,255
"Ryad",3.29617309390873e-05,385
"Colin",3.24919720018249e-05,455
"Akim",3.11640729064588e-05,0
"Nelson",3.10623680682271e-05,322
"Leonce",3.05428736933294e-05,0
"Aziz",3.05176072882072e-05,0
"Giovanni",3.01688047363738e-05,407
"Rolland",3.00489248926143e-05,0
"Rui",3.00388722832794e-05,0
"Celestin",2.99551441550706e-05,0
"Erwann",2.99509597939139e-05,0
"Tommy",2.97461649697618e-05,0
"Aldo",2.92756723908301e-05,0
"Yoni",2.92134058195722e-05,0
"Djamel",2.88841317933749e-05,0
"Mae",2.88407358567463e-05,0
"Jad",2.87663934415205e-05,305
"Hector",2.86859280345089e-05,231
"Naïm",2.86673697663634e-05,107
"Ian",2.85437503397409e-05,0
"Nordine",2.84104415244894e-05,0
"Joao",2.83709825814539e-05,0
"Fouad",2.82231744647894e-05,0
"Gautier",2.81247787928934e-05,0
"Peter",2.79201560814081e-05,0
"Neo",2.77323435812653e-05,0
"Timothe",2.76345223199652e-05,0
"Nadir",2.73579886062986e-05,0
"Kyllian",2.7327139532446e-05,375
"Elouan",2.72687204816858e-05,343
"Pedro",2.72038593201461e-05,0
"Claudius",2.68843631361992e-05,0
"Elliot",2.66807884239331e-05,174
"Sohan",2.65098633255276e-05,103
"Harry",2.64696988987216e-05,0
"Michaël",2.63637623982529e-05,0
"Ilyas",2.63252751576759e-05,189
"Albin",2.63012301516107e-05,469
"Edgard",2.62531621173478e-05,0
"Selim",2.6245153628252e-05,443
"Walter",2.62111266372689e-05,0
"Amin",2.60971435811981e-05,0
"Wilfrid",2.59941018142951e-05,0
"Marwan",2.59893124818633e-05,274
"Anatole",2.55642422019227e-05,204
"Igor",2.55356699366008e-05,0
"Nolann",2.53157832300583e-05,247
"Jan",2.52031150030086e-05,0
"Hedi",2.5132042481812e-05,0
"Virgile",2.50279238776408e-05,0
"Wael",2.49428431621799e-05,321
"Régis",2.49349702041977e-05,0
"Guilhem",2.46317080808483e-05,0
"Chris",2.45032358549074e-05,412
"Sabri",2.44328280312677e-05,0
"Gwenael",2.42422846850438e-05,0
"Côme",2.42259087150357e-05,88
"Issam",2.41830367551708e-05,253
"Lohan",2.41830367551708e-05,270
"Ilian",2.39341025839544e-05,338
"Mustapha",2.38370961084572e-05,0
"Joffrey",2.35206103120624e-05,0
"Idriss",2.34754581575596e-05,168
"Gianni",2.34118312136663e-05,250
"Paco",2.32270622815845e-05,451
"Nolhan",2.32155304344932e-05,197
"Driss",2.29776334833415e-05,0
"Swan",2.27787377816914e-05,304
"Yael",2.27443720758133e-05,0
"Luigi",2.26718790740174e-05,0
"Frantz",2.26356615115713e-05,0
"Mohammed",2.25385414382868e-05,185
"Geoffroy",2.22954030792064e-05,0
"Sofian",2.21401051548421e-05,0
"Mounir",2.21344303874225e-05,0
"Abdel",2.21325389060404e-05,0
"Sandro",2.20947205955459e-05,142
"Jamel",2.18381286170844e-05,0
"Erik",2.18004788401589e-05,0
"Abd",2.17553277020718e-05,0
"Eddie",2.17478055465085e-05,0
"Alexy",2.15900407472423e-05,0
"Maximilien",2.14036606377323e-05,476
"Joey",2.13952441245981e-05,0
"Imad",2.12271457879324e-05,0
"Donovan",2.09880918625324e-05,0
"Hippolyte",2.08779661882646e-05,433
"Raphael",2.08099504997106e-05,105
"Roch",2.06589288165668e-05,0
"Casimir",2.05038487918731e-05,0
"Hicham",2.036019509938e-05,0
"Enes",2.03491587664742e-05,389
"Don",1.97998930754911e-05,0
"Emir",1.97233964391752e-05,279
"Prosper",1.96862765597246e-05,0
"Stan",1.96469985719872e-05,361
"Alois",1.95670687864898e-05,0
"Evann",1.93351643031421e-05,411
"Youcef",1.92339962616885e-05,302
"Éric",1.9104183288261e-05,0
"Rodrigue",1.90142079501493e-05,0
"Ezio",1.89746636781103e-05,200
"Paulo",1.8917193746942e-05,0
"Emre",1.87701925591705e-05,0
"Riad",1.86200028580145e-05,0
"Salah",1.85878717099751e-05,0
"Anton",1.84737775563925e-05,239
"Ken",1.84595322585791e-05,0
"Swann",1.84524109834047e-05,305
"Tino",1.83848045703431e-05,316
"Andréa",1.83261608832736e-05,485
"Ismail",1.83155051062043e-05,347
"Medhi",1.81824823476579e-05,0
"Joannes",1.79406828489448e-05,0
"Aristide",1.79103575922065e-05,0
"Stephen",1.7582114939979e-05,0
"Hadrien",1.75022949731797e-05,367
"Tarik",1.72134427512435e-05,0
"Isidore",1.71967468812133e-05,0
"Abdelkader",1.71352275564429e-05,0
"Mamadou",1.69303487505515e-05,330
"Hassan",1.67924947975447e-05,0
"Hamid",1.67149234258225e-05,0
"Valery",1.6689092918055e-05,0
"Ilhan",1.6618557509491e-05,308
"Warren",1.65446884140481e-05,261
"Nathanael",1.65086526955081e-05,0
"Sean",1.6488072618832e-05,0
"Amand",1.62964051147394e-05,0
"Toni",1.61395237606935e-05,0
"Adrian",1.60935785893283e-05,349
"Wesley",1.60782732370553e-05,365
"Kim",1.60374827040152e-05,0
"Matt",1.59458303860126e-05,0
"Nahil",1.59153185439536e-05,109
"Paulin",1.5752918121192e-05,0
"Djibril",1.5704306360352e-05,194
"Noha",1.56618121709447e-05,0
"Melvyn",1.55607901418803e-05,480
"Yassin",1.55607901418803e-05,399
"Ismaël",1.54851667508924e-05,99
"Gwendal",1.54418647601336e-05,0
"Ambroise",1.53426580634177e-05,430
"Felicien",1.53125361442235e-05,0
"Josue",1.49957888791598e-05,0
"Elyes",1.46911548557861e-05,427
"Ilies",1.46647635635844e-05,0
"Livio",1.45791011846648e-05,200
"Ruddy",1.44542036222092e-05,0
"Terry",1.41663461249817e-05,0
"Elian",1.41142160891858e-05,0
"Ilias",1.40426419708585e-05,0
"Irenee",1.40328912649282e-05,0
"Matys",1.4029641531346e-05,0
"Jawad",1.40036526965813e-05,0
"Urbain",1.38626198743655e-05,0
"Hocine",1.38480574497969e-05,0
"Yazid",1.3744649696965e-05,469
"Jordy",1.36865964729259e-05,0
"Sullivan",1.35868081206078e-05,0
"Hans",1.35482457656986e-05,0
"Lubin",1.35321889037492e-05,341
"Fabian",1.33703708825449e-05,0
"Ayman",1.33527863537695e-05,389
"Arno",1.33080605594422e-05,0
"Morad",1.33080605594422e-05,0
"Lyes",1.32889076796883e-05,0
"Noan",1.32793346884334e-05,497
"Jamal",1.32506295157869e-05,0
"Francisco",1.32424318417173e-05,0
"Reynald",1.32238567090147e-05,0
"Yusuf",1.31932813253561e-05,292
"Blaise",1.29932168634029e-05,0
"Edwin",1.28572512228922e-05,0
"Matheo",1.28036290056755e-05,297
"Gervais",1.27714915502241e-05,0
"Habib",1.24803437683451e-05,0
"Romaric",1.23580328689127e-05,0
"Eli",1.23430836366169e-05,0
